label,start,month,open,high,low,close,vwp,volume,trades
1,4,10,0.000011,0.000012,0.00000887,0.00000916,0.000009512055288783093,16894964,187
0,7,10,0.00000916,0.00000927,0.00000896,0.00000926,0.00000906818982035348,4232033,43
1,10,10,0.00000926,0.00000951,0.00000899,0.00000914,0.00000930766348585201,8377728,75
1,13,10,0.00000914,0.00000945,0.000009,0.0000094,0.00000929864611841696,3374010,93
0,16,10,0.0000094,0.00000969,0.0000091,0.00000969,0.000009459255172181206,2431421,56
0,19,10,0.00000978,0.0000101,0.0000092,0.0000092,0.000009443546099576768,1735927,24
0,22,10,0.0000092,0.0000092,0.00000843,0.00000882,0.000008942223593859421,3347176,30
0,1,11,0.00000882,0.00000891,0.00000871,0.00000876,0.000008755495950280069,1789383,32
0,4,11,0.00000876,0.00000878,0.0000083,0.00000871,0.000008427188825773948,1827706,27
1,7,11,0.00000871,0.00000881,0.0000082,0.0000084,0.000008363184062834821,4091744,19
1,10,11,0.0000084,0.00000872,0.00000839,0.00000843,0.000008501166841922292,3716476,37
0,13,11,0.00000843,0.00000875,0.0000084,0.00000874,0.000008592175191258761,1358892,39
0,16,11,0.00000874,0.00000881,0.00000835,0.00000873,0.000008516772956309921,1131813,28
1,19,11,0.00000873,0.00000882,0.00000827,0.00000853,0.000008486025240387308,2677138,53
0,22,11,0.00000853,0.00000932,0.00000831,0.0000086,0.000008892297269622086,4253001,52
1,1,11,0.0000086,0.00000907,0.00000831,0.00000843,0.000008736518675686437,1401662,28
0,4,11,0.00000843,0.000009,0.00000843,0.0000085,0.000008695186954630315,1025222,25
1,7,11,0.0000085,0.0000085,0.00000704,0.0000075,0.000007618870012346836,7256920,55
1,10,11,0.0000075,0.00000881,0.00000713,0.00000825,0.000007615146760603629,4927276,49
0,13,11,0.00000825,0.00000884,0.00000798,0.00000862,0.000008415672904454737,3274291,54
0,16,11,0.00000862,0.00000862,0.000008,0.000008,0.00000806581342576846,1799316,16
1,19,11,0.000008,0.0000083,0.000008,0.000008,0.000008021776265846953,9139454,30
1,22,11,0.000008,0.00000826,0.000008,0.00000804,0.000008034561428013323,952204,13
1,1,11,0.00000804,0.00000831,0.00000804,0.00000831,0.000008167405254667418,2279954,14
0,4,11,0.00000831,0.00000846,0.00000762,0.00000841,0.000008007310198078598,3507749,21
1,7,11,0.00000841,0.00000841,0.00000751,0.00000751,0.000007624600766300552,539997,12
0,10,11,0.00000751,0.00000799,0.00000751,0.00000756,0.000007604856943046448,3027151,22
1,13,11,0.00000756,0.00000797,0.00000732,0.00000736,0.00000747884171408131,6108345,64
0,16,11,0.00000736,0.0000077,0.00000736,0.0000077,0.000007569159515457402,908238,24
1,19,11,0.0000077,0.0000077,0.00000731,0.00000742,0.000007376660106808064,1552879,35
0,22,11,0.00000742,0.0000078,0.00000742,0.0000078,0.00000765600348667519,1957739,27
0,1,11,0.0000078,0.0000079,0.0000077,0.0000077,0.00000779237600502637,908807,18
0,4,11,0.0000077,0.00000779,0.00000761,0.00000767,0.000007643483231582461,793605,24
1,7,11,0.00000767,0.00000776,0.00000746,0.0000075,0.000007553077530920332,2727170,31
0,10,11,0.0000075,0.00000761,0.0000075,0.0000076,0.000007574506731034676,862126,12
1,13,11,0.0000076,0.00000779,0.00000739,0.0000075,0.0000075195799149429795,2682671,35
1,16,11,0.0000075,0.00000768,0.00000733,0.00000761,0.000007543188852874801,1917768,29
0,19,11,0.00000761,0.00000773,0.00000761,0.00000772,0.000007714858484306015,2034474,30
1,22,11,0.00000747,0.00000764,0.0000073,0.0000073,0.000007400132350969489,2349435,32
1,1,11,0.0000073,0.00000853,0.0000073,0.00000783,0.000007955661517219518,2662357,53
0,4,11,0.00000783,0.000008,0.00000764,0.00000785,0.000007811063011161978,2430125,52
0,7,11,0.00000785,0.0000079,0.00000782,0.00000782,0.000007875407782437776,783739,8
0,10,11,0.00000782,0.0000083,0.00000773,0.00000773,0.000007989278509901342,4978516,21
1,13,11,0.00000773,0.00000777,0.00000756,0.00000756,0.000007605574575582059,5307622,30
1,16,11,0.00000756,0.00000766,0.00000737,0.00000766,0.000007543389163230326,883935,9
0,19,11,0.00000766,0.00000795,0.00000766,0.00000785,0.000007862068975251717,425080,6
0,22,11,0.00000785,0.00000785,0.00000757,0.00000758,0.0000075720682715674355,79008,5
1,1,11,0.00000758,0.00000789,0.00000757,0.00000757,0.000007691820333999534,1778745,29
0,4,11,0.00000757,0.00000771,0.00000757,0.00000762,0.000007646536704074368,419967,13
